[Epoch: 0]: Phase train | Loss: 0.694 | Acc: 0.499
[Epoch: 0]: Phase valid | Loss: 0.712 | Acc: 0.390
[Epoch: 0]: Phase test  | Loss: 0.698 | Acc: 0.480
[Epoch: 1]: Phase train | Loss: 0.694 | Acc: 0.516
[Epoch: 1]: Phase valid | Loss: 0.703 | Acc: 0.390
[Epoch: 1]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 2]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 2]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 2]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 3]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 3]: Phase valid | Loss: 0.698 | Acc: 0.390
[Epoch: 3]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 4]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 4]: Phase valid | Loss: 0.705 | Acc: 0.390
[Epoch: 4]: Phase test  | Loss: 0.696 | Acc: 0.480
[Epoch: 5]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 5]: Phase valid | Loss: 0.703 | Acc: 0.390
[Epoch: 5]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 6]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 6]: Phase valid | Loss: 0.698 | Acc: 0.390
[Epoch: 6]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 7]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 7]: Phase valid | Loss: 0.705 | Acc: 0.390
[Epoch: 7]: Phase test  | Loss: 0.696 | Acc: 0.480
[Epoch: 8]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 8]: Phase valid | Loss: 0.698 | Acc: 0.390
[Epoch: 8]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 9]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 9]: Phase valid | Loss: 0.703 | Acc: 0.390
[Epoch: 9]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 10]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 10]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 10]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 11]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 11]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 11]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 12]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 12]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 12]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 13]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 13]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 13]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 14]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 14]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 14]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 15]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 15]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 15]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 16]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 16]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 16]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 17]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 17]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 17]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 18]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 18]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 18]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 19]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 19]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 19]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 20]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 20]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 20]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 21]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 21]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 21]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 22]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 22]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 22]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 23]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 23]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 23]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 24]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 24]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 24]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 25]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 25]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 25]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 26]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 26]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 26]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 27]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 27]: Phase valid | Loss: 0.704 | Acc: 0.390
[Epoch: 27]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 28]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 28]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 28]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 29]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 29]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 29]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 30]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 30]: Phase valid | Loss: 0.699 | Acc: 0.390
[Epoch: 30]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 31]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 31]: Phase valid | Loss: 0.703 | Acc: 0.390
[Epoch: 31]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 32]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 32]: Phase valid | Loss: 0.703 | Acc: 0.390
[Epoch: 32]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 33]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 33]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 33]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 34]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 34]: Phase valid | Loss: 0.703 | Acc: 0.390
[Epoch: 34]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 35]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 35]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 35]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 36]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 36]: Phase valid | Loss: 0.699 | Acc: 0.390
[Epoch: 36]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 37]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 37]: Phase valid | Loss: 0.698 | Acc: 0.390
[Epoch: 37]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 38]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 38]: Phase valid | Loss: 0.699 | Acc: 0.390
[Epoch: 38]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 39]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 39]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 39]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 40]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 40]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 40]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 41]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 41]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 41]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 42]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 42]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 42]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 43]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 43]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 43]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 44]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 44]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 44]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 45]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 45]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 45]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 46]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 46]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 46]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 47]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 47]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 47]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 48]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 48]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 48]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 49]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 49]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 49]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 50]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 50]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 50]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 51]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 51]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 51]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 52]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 52]: Phase valid | Loss: 0.703 | Acc: 0.390
[Epoch: 52]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 53]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 53]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 53]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 54]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 54]: Phase valid | Loss: 0.703 | Acc: 0.390
[Epoch: 54]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 55]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 55]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 55]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 56]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 56]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 56]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 57]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 57]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 57]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 58]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 58]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 58]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 59]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 59]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 59]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 60]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 60]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 60]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 61]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 61]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 61]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 62]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 62]: Phase valid | Loss: 0.703 | Acc: 0.390
[Epoch: 62]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 63]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 63]: Phase valid | Loss: 0.703 | Acc: 0.390
[Epoch: 63]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 64]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 64]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 64]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 65]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 65]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 65]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 66]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 66]: Phase valid | Loss: 0.703 | Acc: 0.390
[Epoch: 66]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 67]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 67]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 67]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 68]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 68]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 68]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 69]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 69]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 69]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 70]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 70]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 70]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 71]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 71]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 71]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 72]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 72]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 72]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 73]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 73]: Phase valid | Loss: 0.699 | Acc: 0.390
[Epoch: 73]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 74]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 74]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 74]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 75]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 75]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 75]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 76]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 76]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 76]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 77]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 77]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 77]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 78]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 78]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 78]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 79]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 79]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 79]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 80]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 80]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 80]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 81]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 81]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 81]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 82]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 82]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 82]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 83]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 83]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 83]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 84]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 84]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 84]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 85]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 85]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 85]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 86]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 86]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 86]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 87]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 87]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 87]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 88]: Phase train | Loss: 0.692 | Acc: 0.516
