[Epoch: 0]: Phase train | Loss: 0.740 | Acc: 0.569
[Epoch: 0]: Phase valid | Loss: 0.722 | Acc: 0.450
[Epoch: 0]: Phase test  | Loss: 0.669 | Acc: 0.550
[Epoch: 1]: Phase train | Loss: 0.595 | Acc: 0.681
[Epoch: 1]: Phase valid | Loss: 0.655 | Acc: 0.550
[Epoch: 1]: Phase test  | Loss: 0.601 | Acc: 0.660
[Epoch: 2]: Phase train | Loss: 0.548 | Acc: 0.729
[Epoch: 2]: Phase valid | Loss: 0.609 | Acc: 0.500
[Epoch: 2]: Phase test  | Loss: 0.534 | Acc: 0.670
[Epoch: 3]: Phase train | Loss: 0.456 | Acc: 0.809
[Epoch: 3]: Phase valid | Loss: 0.449 | Acc: 0.850
[Epoch: 3]: Phase test  | Loss: 0.416 | Acc: 0.840
[Epoch: 4]: Phase train | Loss: 0.372 | Acc: 0.905
[Epoch: 4]: Phase valid | Loss: 0.622 | Acc: 0.450
[Epoch: 4]: Phase test  | Loss: 0.500 | Acc: 0.580
[Epoch: 5]: Phase train | Loss: 0.353 | Acc: 0.877
[Epoch: 5]: Phase valid | Loss: 0.366 | Acc: 0.920
[Epoch: 5]: Phase test  | Loss: 0.306 | Acc: 0.940
[Epoch: 6]: Phase train | Loss: 0.317 | Acc: 0.894
[Epoch: 6]: Phase valid | Loss: 0.262 | Acc: 0.990
[Epoch: 6]: Phase test  | Loss: 0.220 | Acc: 0.970
[Epoch: 7]: Phase train | Loss: 0.249 | Acc: 0.939
[Epoch: 7]: Phase valid | Loss: 0.426 | Acc: 0.760
[Epoch: 7]: Phase test  | Loss: 0.330 | Acc: 0.810
[Epoch: 8]: Phase train | Loss: 0.211 | Acc: 0.958
[Epoch: 8]: Phase valid | Loss: 0.388 | Acc: 0.840
[Epoch: 8]: Phase test  | Loss: 0.290 | Acc: 0.860
[Epoch: 9]: Phase train | Loss: 0.180 | Acc: 0.961
[Epoch: 9]: Phase valid | Loss: 0.165 | Acc: 0.990
[Epoch: 9]: Phase test  | Loss: 0.127 | Acc: 0.970
[Epoch: 10]: Phase train | Loss: 0.170 | Acc: 0.953
[Epoch: 10]: Phase valid | Loss: 0.185 | Acc: 0.980
[Epoch: 10]: Phase test  | Loss: 0.133 | Acc: 0.960
[Epoch: 11]: Phase train | Loss: 0.160 | Acc: 0.951
[Epoch: 11]: Phase valid | Loss: 0.129 | Acc: 0.990
[Epoch: 11]: Phase test  | Loss: 0.094 | Acc: 0.990
[Epoch: 12]: Phase train | Loss: 0.141 | Acc: 0.960
[Epoch: 12]: Phase valid | Loss: 0.101 | Acc: 0.990
[Epoch: 12]: Phase test  | Loss: 0.079 | Acc: 0.990
[Epoch: 13]: Phase train | Loss: 0.130 | Acc: 0.963
[Epoch: 13]: Phase valid | Loss: 0.109 | Acc: 0.990
[Epoch: 13]: Phase test  | Loss: 0.076 | Acc: 0.990
[Epoch: 14]: Phase train | Loss: 0.103 | Acc: 0.981
[Epoch: 14]: Phase valid | Loss: 0.069 | Acc: 0.990
[Epoch: 14]: Phase test  | Loss: 0.056 | Acc: 1.000
[Epoch: 15]: Phase train | Loss: 0.099 | Acc: 0.980
[Epoch: 15]: Phase valid | Loss: 0.120 | Acc: 0.990
[Epoch: 15]: Phase test  | Loss: 0.085 | Acc: 0.970
[Epoch: 16]: Phase train | Loss: 0.106 | Acc: 0.970
[Epoch: 16]: Phase valid | Loss: 0.046 | Acc: 0.990
[Epoch: 16]: Phase test  | Loss: 0.031 | Acc: 1.000
[Epoch: 17]: Phase train | Loss: 0.089 | Acc: 0.980
[Epoch: 17]: Phase valid | Loss: 0.035 | Acc: 0.990
[Epoch: 17]: Phase test  | Loss: 0.036 | Acc: 1.000
[Epoch: 18]: Phase train | Loss: 0.074 | Acc: 0.989
[Epoch: 18]: Phase valid | Loss: 0.035 | Acc: 0.990
[Epoch: 18]: Phase test  | Loss: 0.026 | Acc: 1.000
[Epoch: 19]: Phase train | Loss: 0.074 | Acc: 0.983
[Epoch: 19]: Phase valid | Loss: 0.043 | Acc: 0.990
[Epoch: 19]: Phase test  | Loss: 0.028 | Acc: 1.000
[Epoch: 20]: Phase train | Loss: 0.073 | Acc: 0.981
[Epoch: 20]: Phase valid | Loss: 0.025 | Acc: 0.990
[Epoch: 20]: Phase test  | Loss: 0.025 | Acc: 1.000
[Epoch: 21]: Phase train | Loss: 0.065 | Acc: 0.983
[Epoch: 21]: Phase valid | Loss: 0.028 | Acc: 0.990
[Epoch: 21]: Phase test  | Loss: 0.021 | Acc: 1.000
[Epoch: 22]: Phase train | Loss: 0.054 | Acc: 0.988
[Epoch: 22]: Phase valid | Loss: 0.073 | Acc: 0.990
[Epoch: 22]: Phase test  | Loss: 0.045 | Acc: 0.990
[Epoch: 23]: Phase train | Loss: 0.068 | Acc: 0.978
[Epoch: 23]: Phase valid | Loss: 0.037 | Acc: 0.990
[Epoch: 23]: Phase test  | Loss: 0.024 | Acc: 1.000
[Epoch: 24]: Phase train | Loss: 0.048 | Acc: 0.991
[Epoch: 24]: Phase valid | Loss: 0.025 | Acc: 0.990
