[Epoch: 0]: Phase train | Loss: 1.393 | Acc: 0.504
[Epoch: 0]: Phase valid | Loss: 0.820 | Acc: 0.440
[Epoch: 0]: Phase test  | Loss: 0.725 | Acc: 0.550
[Epoch: 1]: Phase train | Loss: 0.787 | Acc: 0.512
[Epoch: 1]: Phase valid | Loss: 0.698 | Acc: 0.440
[Epoch: 1]: Phase test  | Loss: 0.653 | Acc: 0.550
[Epoch: 2]: Phase train | Loss: 0.667 | Acc: 0.618
[Epoch: 2]: Phase valid | Loss: 0.643 | Acc: 0.680
[Epoch: 2]: Phase test  | Loss: 0.613 | Acc: 0.670
[Epoch: 3]: Phase train | Loss: 0.630 | Acc: 0.651
[Epoch: 3]: Phase valid | Loss: 0.604 | Acc: 0.730
[Epoch: 3]: Phase test  | Loss: 0.560 | Acc: 0.710
[Epoch: 4]: Phase train | Loss: 0.592 | Acc: 0.684
[Epoch: 4]: Phase valid | Loss: 0.517 | Acc: 0.790
[Epoch: 4]: Phase test  | Loss: 0.495 | Acc: 0.850
[Epoch: 5]: Phase train | Loss: 0.548 | Acc: 0.744
[Epoch: 5]: Phase valid | Loss: 0.640 | Acc: 0.520
[Epoch: 5]: Phase test  | Loss: 0.517 | Acc: 0.600
[Epoch: 6]: Phase train | Loss: 0.580 | Acc: 0.688
[Epoch: 6]: Phase valid | Loss: 0.534 | Acc: 0.860
[Epoch: 6]: Phase test  | Loss: 0.466 | Acc: 0.860
[Epoch: 7]: Phase train | Loss: 0.457 | Acc: 0.823
[Epoch: 7]: Phase valid | Loss: 0.381 | Acc: 0.890
[Epoch: 7]: Phase test  | Loss: 0.336 | Acc: 0.930
[Epoch: 8]: Phase train | Loss: 0.370 | Acc: 0.877
[Epoch: 8]: Phase valid | Loss: 0.312 | Acc: 0.870
[Epoch: 8]: Phase test  | Loss: 0.273 | Acc: 0.890
[Epoch: 9]: Phase train | Loss: 0.274 | Acc: 0.927
[Epoch: 9]: Phase valid | Loss: 0.209 | Acc: 0.970
[Epoch: 9]: Phase test  | Loss: 0.153 | Acc: 1.000
[Epoch: 10]: Phase train | Loss: 0.178 | Acc: 0.961
[Epoch: 10]: Phase valid | Loss: 0.177 | Acc: 0.950
[Epoch: 10]: Phase test  | Loss: 0.141 | Acc: 0.970
[Epoch: 11]: Phase train | Loss: 0.145 | Acc: 0.963
[Epoch: 11]: Phase valid | Loss: 0.103 | Acc: 0.990
[Epoch: 11]: Phase test  | Loss: 0.077 | Acc: 1.000
[Epoch: 12]: Phase train | Loss: 0.088 | Acc: 0.993
[Epoch: 12]: Phase valid | Loss: 0.080 | Acc: 0.980
[Epoch: 12]: Phase test  | Loss: 0.043 | Acc: 1.000
[Epoch: 13]: Phase train | Loss: 0.063 | Acc: 0.989
[Epoch: 13]: Phase valid | Loss: 0.029 | Acc: 1.000
[Epoch: 13]: Phase test  | Loss: 0.020 | Acc: 1.000
[Epoch: 14]: Phase train | Loss: 0.033 | Acc: 0.996
[Epoch: 14]: Phase valid | Loss: 0.015 | Acc: 1.000
[Epoch: 14]: Phase test  | Loss: 0.009 | Acc: 1.000
[Epoch: 15]: Phase train | Loss: 0.015 | Acc: 1.000
[Epoch: 15]: Phase valid | Loss: 0.009 | Acc: 1.000
[Epoch: 15]: Phase test  | Loss: 0.004 | Acc: 1.000
[Epoch: 16]: Phase train | Loss: 0.016 | Acc: 1.000
[Epoch: 16]: Phase valid | Loss: 0.008 | Acc: 1.000
[Epoch: 16]: Phase test  | Loss: 0.005 | Acc: 1.000
[Epoch: 17]: Phase train | Loss: 0.011 | Acc: 0.999
[Epoch: 17]: Phase valid | Loss: 0.007 | Acc: 1.000
[Epoch: 17]: Phase test  | Loss: 0.002 | Acc: 1.000
[Epoch: 18]: Phase train | Loss: 0.009 | Acc: 1.000
[Epoch: 18]: Phase valid | Loss: 0.003 | Acc: 1.000
[Epoch: 18]: Phase test  | Loss: 0.002 | Acc: 1.000
[Epoch: 19]: Phase train | Loss: 0.007 | Acc: 1.000
[Epoch: 19]: Phase valid | Loss: 0.002 | Acc: 1.000
[Epoch: 19]: Phase test  | Loss: 0.001 | Acc: 1.000
[Epoch: 20]: Phase train | Loss: 0.005 | Acc: 0.999
[Epoch: 20]: Phase valid | Loss: 0.001 | Acc: 1.000
[Epoch: 20]: Phase test  | Loss: 0.001 | Acc: 1.000
[Epoch: 21]: Phase train | Loss: 0.003 | Acc: 1.000
[Epoch: 21]: Phase valid | Loss: 0.001 | Acc: 1.000
[Epoch: 21]: Phase test  | Loss: 0.001 | Acc: 1.000
[Epoch: 22]: Phase train | Loss: 0.003 | Acc: 1.000
[Epoch: 22]: Phase valid | Loss: 0.001 | Acc: 1.000
[Epoch: 22]: Phase test  | Loss: 0.001 | Acc: 1.000
