[Epoch: 0]: Phase train | Loss: 4.633 | Acc: 0.588
[Epoch: 0]: Phase valid | Loss: 0.762 | Acc: 0.568
[Epoch: 0]: Phase test  | Loss: 0.845 | Acc: 0.576
[Epoch: 1]: Phase train | Loss: 2.003 | Acc: 0.667
[Epoch: 1]: Phase valid | Loss: 4.952 | Acc: 0.525
[Epoch: 1]: Phase test  | Loss: 4.141 | Acc: 0.619
[Epoch: 2]: Phase train | Loss: 1.309 | Acc: 0.699
[Epoch: 2]: Phase valid | Loss: 1.043 | Acc: 0.703
[Epoch: 2]: Phase test  | Loss: 0.874 | Acc: 0.720
[Epoch: 3]: Phase train | Loss: 1.031 | Acc: 0.702
[Epoch: 3]: Phase valid | Loss: 3.222 | Acc: 0.542
[Epoch: 3]: Phase test  | Loss: 2.682 | Acc: 0.669
[Epoch: 4]: Phase train | Loss: 1.028 | Acc: 0.723
[Epoch: 4]: Phase valid | Loss: 1.196 | Acc: 0.610
[Epoch: 4]: Phase test  | Loss: 0.917 | Acc: 0.695
[Epoch: 5]: Phase train | Loss: 0.847 | Acc: 0.738
[Epoch: 5]: Phase valid | Loss: 2.352 | Acc: 0.500
[Epoch: 5]: Phase test  | Loss: 3.444 | Acc: 0.458
[Epoch: 6]: Phase train | Loss: 0.872 | Acc: 0.709
[Epoch: 6]: Phase valid | Loss: 0.823 | Acc: 0.686
[Epoch: 6]: Phase test  | Loss: 0.978 | Acc: 0.661
[Epoch: 7]: Phase train | Loss: 0.685 | Acc: 0.729
[Epoch: 7]: Phase valid | Loss: 0.876 | Acc: 0.695
[Epoch: 7]: Phase test  | Loss: 0.873 | Acc: 0.602
[Epoch: 8]: Phase train | Loss: 0.911 | Acc: 0.725
[Epoch: 8]: Phase valid | Loss: 1.056 | Acc: 0.636
[Epoch: 8]: Phase test  | Loss: 1.594 | Acc: 0.636
[Epoch: 9]: Phase train | Loss: 0.758 | Acc: 0.752
[Epoch: 9]: Phase valid | Loss: 1.944 | Acc: 0.602
[Epoch: 9]: Phase test  | Loss: 1.585 | Acc: 0.703
[Epoch: 10]: Phase train | Loss: 0.732 | Acc: 0.729
[Epoch: 10]: Phase valid | Loss: 1.688 | Acc: 0.576
[Epoch: 10]: Phase test  | Loss: 1.226 | Acc: 0.686
[Epoch: 11]: Phase train | Loss: 0.631 | Acc: 0.735
[Epoch: 11]: Phase valid | Loss: 1.368 | Acc: 0.610
[Epoch: 11]: Phase test  | Loss: 1.118 | Acc: 0.712
[Epoch: 12]: Phase train | Loss: 0.501 | Acc: 0.793
[Epoch: 12]: Phase valid | Loss: 1.234 | Acc: 0.602
