[Epoch: 0]: Phase train | Loss: 108.724 | Acc: 0.553
[Epoch: 0]: Phase valid | Loss: 4.494 | Acc: 0.712
[Epoch: 0]: Phase test  | Loss: 5.230 | Acc: 0.669
[Epoch: 1]: Phase train | Loss: 16.398 | Acc: 0.587
[Epoch: 1]: Phase valid | Loss: 3.732 | Acc: 0.669
[Epoch: 1]: Phase test  | Loss: 3.508 | Acc: 0.720
[Epoch: 2]: Phase train | Loss: 5.487 | Acc: 0.641
[Epoch: 2]: Phase valid | Loss: 2.815 | Acc: 0.653
[Epoch: 2]: Phase test  | Loss: 2.288 | Acc: 0.686
[Epoch: 3]: Phase train | Loss: 3.730 | Acc: 0.617
[Epoch: 3]: Phase valid | Loss: 1.858 | Acc: 0.669
[Epoch: 3]: Phase test  | Loss: 1.757 | Acc: 0.627
[Epoch: 4]: Phase train | Loss: 2.755 | Acc: 0.615
[Epoch: 4]: Phase valid | Loss: 2.069 | Acc: 0.602
[Epoch: 4]: Phase test  | Loss: 1.910 | Acc: 0.678
[Epoch: 5]: Phase train | Loss: 2.242 | Acc: 0.636
[Epoch: 5]: Phase valid | Loss: 0.948 | Acc: 0.695
[Epoch: 5]: Phase test  | Loss: 1.207 | Acc: 0.619
[Epoch: 6]: Phase train | Loss: 1.511 | Acc: 0.609
[Epoch: 6]: Phase valid | Loss: 1.242 | Acc: 0.661
[Epoch: 6]: Phase test  | Loss: 1.119 | Acc: 0.678
[Epoch: 7]: Phase train | Loss: 1.340 | Acc: 0.627
[Epoch: 7]: Phase valid | Loss: 0.988 | Acc: 0.669
[Epoch: 7]: Phase test  | Loss: 0.873 | Acc: 0.712
[Epoch: 8]: Phase train | Loss: 1.041 | Acc: 0.631
[Epoch: 8]: Phase valid | Loss: 0.778 | Acc: 0.644
[Epoch: 8]: Phase test  | Loss: 0.732 | Acc: 0.627
[Epoch: 9]: Phase train | Loss: 0.783 | Acc: 0.636
[Epoch: 9]: Phase valid | Loss: 0.821 | Acc: 0.559
[Epoch: 9]: Phase test  | Loss: 0.758 | Acc: 0.729
[Epoch: 10]: Phase train | Loss: 0.715 | Acc: 0.637
[Epoch: 10]: Phase valid | Loss: 0.738 | Acc: 0.551
[Epoch: 10]: Phase test  | Loss: 0.655 | Acc: 0.703
[Epoch: 11]: Phase train | Loss: 0.616 | Acc: 0.669
[Epoch: 11]: Phase valid | Loss: 0.643 | Acc: 0.636
[Epoch: 11]: Phase test  | Loss: 0.628 | Acc: 0.695
[Epoch: 12]: Phase train | Loss: 0.570 | Acc: 0.673
[Epoch: 12]: Phase valid | Loss: 0.647 | Acc: 0.602
[Epoch: 12]: Phase test  | Loss: 0.609 | Acc: 0.729
[Epoch: 13]: Phase train | Loss: 0.571 | Acc: 0.693
[Epoch: 13]: Phase valid | Loss: 0.610 | Acc: 0.661
[Epoch: 13]: Phase test  | Loss: 0.585 | Acc: 0.678
[Epoch: 14]: Phase train | Loss: 0.544 | Acc: 0.676
[Epoch: 14]: Phase valid | Loss: 0.636 | Acc: 0.610
[Epoch: 14]: Phase test  | Loss: 0.619 | Acc: 0.703
[Epoch: 15]: Phase train | Loss: 0.556 | Acc: 0.697
[Epoch: 15]: Phase valid | Loss: 0.594 | Acc: 0.695
[Epoch: 15]: Phase test  | Loss: 0.622 | Acc: 0.703
[Epoch: 16]: Phase train | Loss: 0.535 | Acc: 0.721
[Epoch: 16]: Phase valid | Loss: 0.733 | Acc: 0.585
[Epoch: 16]: Phase test  | Loss: 0.657 | Acc: 0.712
[Epoch: 17]: Phase train | Loss: 0.541 | Acc: 0.701
[Epoch: 17]: Phase valid | Loss: 0.616 | Acc: 0.686
[Epoch: 17]: Phase test  | Loss: 0.583 | Acc: 0.703
[Epoch: 18]: Phase train | Loss: 0.506 | Acc: 0.711
[Epoch: 18]: Phase valid | Loss: 0.621 | Acc: 0.686
[Epoch: 18]: Phase test  | Loss: 0.585 | Acc: 0.720
[Epoch: 19]: Phase train | Loss: 0.485 | Acc: 0.744
[Epoch: 19]: Phase valid | Loss: 0.615 | Acc: 0.695
[Epoch: 19]: Phase test  | Loss: 0.586 | Acc: 0.720
[Epoch: 20]: Phase train | Loss: 0.514 | Acc: 0.728
[Epoch: 20]: Phase valid | Loss: 0.595 | Acc: 0.703
[Epoch: 20]: Phase test  | Loss: 0.595 | Acc: 0.644
[Epoch: 21]: Phase train | Loss: 0.503 | Acc: 0.720
[Epoch: 21]: Phase valid | Loss: 0.632 | Acc: 0.712
[Epoch: 21]: Phase test  | Loss: 0.595 | Acc: 0.737
[Epoch: 22]: Phase train | Loss: 0.476 | Acc: 0.755
[Epoch: 22]: Phase valid | Loss: 0.640 | Acc: 0.703
[Epoch: 22]: Phase test  | Loss: 0.583 | Acc: 0.729
[Epoch: 23]: Phase train | Loss: 0.483 | Acc: 0.753
[Epoch: 23]: Phase valid | Loss: 0.603 | Acc: 0.729
[Epoch: 23]: Phase test  | Loss: 0.593 | Acc: 0.720
[Epoch: 24]: Phase train | Loss: 0.456 | Acc: 0.771
[Epoch: 24]: Phase valid | Loss: 0.601 | Acc: 0.737
[Epoch: 24]: Phase test  | Loss: 0.612 | Acc: 0.678
[Epoch: 25]: Phase train | Loss: 0.458 | Acc: 0.762
[Epoch: 25]: Phase valid | Loss: 0.603 | Acc: 0.695
[Epoch: 25]: Phase test  | Loss: 0.611 | Acc: 0.695
[Epoch: 26]: Phase train | Loss: 0.444 | Acc: 0.792
[Epoch: 26]: Phase valid | Loss: 0.636 | Acc: 0.695
[Epoch: 26]: Phase test  | Loss: 0.624 | Acc: 0.703
[Epoch: 27]: Phase train | Loss: 0.443 | Acc: 0.757
[Epoch: 27]: Phase valid | Loss: 0.633 | Acc: 0.720
[Epoch: 27]: Phase test  | Loss: 0.642 | Acc: 0.729
[Epoch: 28]: Phase train | Loss: 0.435 | Acc: 0.779
[Epoch: 28]: Phase valid | Loss: 0.634 | Acc: 0.712
[Epoch: 28]: Phase test  | Loss: 0.642 | Acc: 0.763
[Epoch: 29]: Phase train | Loss: 0.441 | Acc: 0.771
[Epoch: 29]: Phase valid | Loss: 0.615 | Acc: 0.712
