[Epoch: 0]: Phase train | Loss: 0.683 | Acc: 0.553
[Epoch: 0]: Phase valid | Loss: 0.690 | Acc: 0.526
[Epoch: 0]: Phase test  | Loss: 0.680 | Acc: 0.579
[Epoch: 1]: Phase train | Loss: 0.654 | Acc: 0.693
[Epoch: 1]: Phase valid | Loss: 0.696 | Acc: 0.526
[Epoch: 1]: Phase test  | Loss: 0.676 | Acc: 0.579
[Epoch: 2]: Phase train | Loss: 0.632 | Acc: 0.693
[Epoch: 2]: Phase valid | Loss: 0.710 | Acc: 0.526
[Epoch: 2]: Phase test  | Loss: 0.680 | Acc: 0.579
[Epoch: 3]: Phase train | Loss: 0.638 | Acc: 0.693
[Epoch: 3]: Phase valid | Loss: 0.729 | Acc: 0.526
[Epoch: 3]: Phase test  | Loss: 0.690 | Acc: 0.579
[Epoch: 4]: Phase train | Loss: 0.578 | Acc: 0.693
[Epoch: 4]: Phase valid | Loss: 0.747 | Acc: 0.526
[Epoch: 4]: Phase test  | Loss: 0.701 | Acc: 0.579
[Epoch: 5]: Phase train | Loss: 0.590 | Acc: 0.693
[Epoch: 5]: Phase valid | Loss: 0.771 | Acc: 0.526
[Epoch: 5]: Phase test  | Loss: 0.717 | Acc: 0.579
[Epoch: 6]: Phase train | Loss: 0.572 | Acc: 0.693
[Epoch: 6]: Phase valid | Loss: 0.788 | Acc: 0.526
[Epoch: 6]: Phase test  | Loss: 0.728 | Acc: 0.579
[Epoch: 7]: Phase train | Loss: 0.625 | Acc: 0.693
[Epoch: 7]: Phase valid | Loss: 0.796 | Acc: 0.526
[Epoch: 7]: Phase test  | Loss: 0.733 | Acc: 0.579
[Epoch: 8]: Phase train | Loss: 0.615 | Acc: 0.693
[Epoch: 8]: Phase valid | Loss: 0.780 | Acc: 0.526
[Epoch: 8]: Phase test  | Loss: 0.720 | Acc: 0.579
[Epoch: 9]: Phase train | Loss: 0.606 | Acc: 0.693
[Epoch: 9]: Phase valid | Loss: 0.753 | Acc: 0.526
[Epoch: 9]: Phase test  | Loss: 0.701 | Acc: 0.579
[Epoch: 10]: Phase train | Loss: 0.608 | Acc: 0.693
[Epoch: 10]: Phase valid | Loss: 0.734 | Acc: 0.526
[Epoch: 10]: Phase test  | Loss: 0.687 | Acc: 0.579
