[Epoch: 0]: Phase train | Loss: 0.747 | Acc: 0.493
[Epoch: 0]: Phase valid | Loss: 0.746 | Acc: 0.263
[Epoch: 0]: Phase test  | Loss: 0.737 | Acc: 0.368
[Epoch: 1]: Phase train | Loss: 0.555 | Acc: 0.713
[Epoch: 1]: Phase valid | Loss: 0.560 | Acc: 0.737
[Epoch: 1]: Phase test  | Loss: 0.625 | Acc: 0.632
[Epoch: 2]: Phase train | Loss: 0.478 | Acc: 0.740
[Epoch: 2]: Phase valid | Loss: 0.492 | Acc: 0.737
[Epoch: 2]: Phase test  | Loss: 0.585 | Acc: 0.632
[Epoch: 3]: Phase train | Loss: 0.469 | Acc: 0.740
[Epoch: 3]: Phase valid | Loss: 0.434 | Acc: 0.737
[Epoch: 3]: Phase test  | Loss: 0.563 | Acc: 0.632
[Epoch: 4]: Phase train | Loss: 0.388 | Acc: 0.773
[Epoch: 4]: Phase valid | Loss: 0.435 | Acc: 0.737
[Epoch: 4]: Phase test  | Loss: 0.605 | Acc: 0.632
[Epoch: 5]: Phase train | Loss: 0.489 | Acc: 0.787
[Epoch: 5]: Phase valid | Loss: 0.476 | Acc: 0.737
[Epoch: 5]: Phase test  | Loss: 0.676 | Acc: 0.632
[Epoch: 6]: Phase train | Loss: 0.407 | Acc: 0.800
[Epoch: 6]: Phase valid | Loss: 0.493 | Acc: 0.737
[Epoch: 6]: Phase test  | Loss: 0.706 | Acc: 0.632
[Epoch: 7]: Phase train | Loss: 0.378 | Acc: 0.787
[Epoch: 7]: Phase valid | Loss: 0.519 | Acc: 0.737
[Epoch: 7]: Phase test  | Loss: 0.747 | Acc: 0.632
[Epoch: 8]: Phase train | Loss: 0.397 | Acc: 0.813
[Epoch: 8]: Phase valid | Loss: 0.570 | Acc: 0.737
[Epoch: 8]: Phase test  | Loss: 0.830 | Acc: 0.632
[Epoch: 9]: Phase train | Loss: 0.350 | Acc: 0.787
[Epoch: 9]: Phase valid | Loss: 0.594 | Acc: 0.737
[Epoch: 9]: Phase test  | Loss: 0.883 | Acc: 0.632
[Epoch: 10]: Phase train | Loss: 0.321 | Acc: 0.833
[Epoch: 10]: Phase valid | Loss: 0.584 | Acc: 0.737
[Epoch: 10]: Phase test  | Loss: 0.883 | Acc: 0.632
[Epoch: 11]: Phase train | Loss: 0.466 | Acc: 0.787
[Epoch: 11]: Phase valid | Loss: 0.539 | Acc: 0.737
[Epoch: 11]: Phase test  | Loss: 0.826 | Acc: 0.632
[Epoch: 12]: Phase train | Loss: 0.347 | Acc: 0.860
[Epoch: 12]: Phase valid | Loss: 0.470 | Acc: 0.737
[Epoch: 12]: Phase test  | Loss: 0.742 | Acc: 0.684
[Epoch: 13]: Phase train | Loss: 0.346 | Acc: 0.827
[Epoch: 13]: Phase valid | Loss: 0.406 | Acc: 0.737
[Epoch: 13]: Phase test  | Loss: 0.695 | Acc: 0.684
[Epoch: 14]: Phase train | Loss: 0.352 | Acc: 0.840
[Epoch: 14]: Phase valid | Loss: 0.325 | Acc: 0.737
[Epoch: 14]: Phase test  | Loss: 0.636 | Acc: 0.684
[Epoch: 15]: Phase train | Loss: 0.334 | Acc: 0.833
[Epoch: 15]: Phase valid | Loss: 0.305 | Acc: 0.737
[Epoch: 15]: Phase test  | Loss: 0.639 | Acc: 0.684
[Epoch: 16]: Phase train | Loss: 0.356 | Acc: 0.827
[Epoch: 16]: Phase valid | Loss: 0.335 | Acc: 0.737
[Epoch: 16]: Phase test  | Loss: 0.674 | Acc: 0.684
[Epoch: 17]: Phase train | Loss: 0.352 | Acc: 0.827
[Epoch: 17]: Phase valid | Loss: 0.298 | Acc: 0.789
[Epoch: 17]: Phase test  | Loss: 0.635 | Acc: 0.684
[Epoch: 18]: Phase train | Loss: 0.326 | Acc: 0.827
[Epoch: 18]: Phase valid | Loss: 0.250 | Acc: 0.789
[Epoch: 18]: Phase test  | Loss: 0.577 | Acc: 0.737
[Epoch: 19]: Phase train | Loss: 0.328 | Acc: 0.813
[Epoch: 19]: Phase valid | Loss: 0.234 | Acc: 0.842
[Epoch: 19]: Phase test  | Loss: 0.546 | Acc: 0.842
[Epoch: 20]: Phase train | Loss: 0.349 | Acc: 0.847
[Epoch: 20]: Phase valid | Loss: 0.288 | Acc: 0.789
[Epoch: 20]: Phase test  | Loss: 0.629 | Acc: 0.737
[Epoch: 21]: Phase train | Loss: 0.341 | Acc: 0.860
[Epoch: 21]: Phase valid | Loss: 0.337 | Acc: 0.789
[Epoch: 21]: Phase test  | Loss: 0.706 | Acc: 0.684
[Epoch: 22]: Phase train | Loss: 0.279 | Acc: 0.873
[Epoch: 22]: Phase valid | Loss: 0.286 | Acc: 0.842
[Epoch: 22]: Phase test  | Loss: 0.641 | Acc: 0.737
[Epoch: 23]: Phase train | Loss: 0.269 | Acc: 0.867
[Epoch: 23]: Phase valid | Loss: 0.218 | Acc: 0.895
[Epoch: 23]: Phase test  | Loss: 0.568 | Acc: 0.789
[Epoch: 24]: Phase train | Loss: 0.286 | Acc: 0.847
[Epoch: 24]: Phase valid | Loss: 0.183 | Acc: 0.895
[Epoch: 24]: Phase test  | Loss: 0.592 | Acc: 0.789
[Epoch: 25]: Phase train | Loss: 0.317 | Acc: 0.847
[Epoch: 25]: Phase valid | Loss: 0.147 | Acc: 0.895
[Epoch: 25]: Phase test  | Loss: 0.599 | Acc: 0.684
[Epoch: 26]: Phase train | Loss: 0.229 | Acc: 0.887
[Epoch: 26]: Phase valid | Loss: 0.211 | Acc: 0.895
[Epoch: 26]: Phase test  | Loss: 0.642 | Acc: 0.789
[Epoch: 27]: Phase train | Loss: 0.259 | Acc: 0.880
[Epoch: 27]: Phase valid | Loss: 0.220 | Acc: 0.895
[Epoch: 27]: Phase test  | Loss: 0.637 | Acc: 0.789
[Epoch: 28]: Phase train | Loss: 0.293 | Acc: 0.873
[Epoch: 28]: Phase valid | Loss: 0.187 | Acc: 0.895
[Epoch: 28]: Phase test  | Loss: 0.612 | Acc: 0.737
[Epoch: 29]: Phase train | Loss: 0.331 | Acc: 0.860
[Epoch: 29]: Phase valid | Loss: 0.159 | Acc: 0.895
[Epoch: 29]: Phase test  | Loss: 0.642 | Acc: 0.684
[Epoch: 30]: Phase train | Loss: 0.273 | Acc: 0.853
