[Epoch: 0]: Phase train | Loss: 3.947 | Acc: 0.413
[Epoch: 0]: Phase valid | Loss: 0.958 | Acc: 0.737
[Epoch: 0]: Phase test  | Loss: 1.530 | Acc: 0.632
[Epoch: 1]: Phase train | Loss: 1.599 | Acc: 0.640
[Epoch: 1]: Phase valid | Loss: 0.639 | Acc: 0.737
[Epoch: 1]: Phase test  | Loss: 1.012 | Acc: 0.632
[Epoch: 2]: Phase train | Loss: 1.425 | Acc: 0.600
[Epoch: 2]: Phase valid | Loss: 0.399 | Acc: 0.737
[Epoch: 2]: Phase test  | Loss: 0.548 | Acc: 0.632
[Epoch: 3]: Phase train | Loss: 0.741 | Acc: 0.640
[Epoch: 3]: Phase valid | Loss: 0.400 | Acc: 0.737
[Epoch: 3]: Phase test  | Loss: 0.649 | Acc: 0.632
[Epoch: 4]: Phase train | Loss: 0.714 | Acc: 0.660
[Epoch: 4]: Phase valid | Loss: 0.396 | Acc: 0.737
[Epoch: 4]: Phase test  | Loss: 0.641 | Acc: 0.632
[Epoch: 5]: Phase train | Loss: 0.718 | Acc: 0.667
[Epoch: 5]: Phase valid | Loss: 0.285 | Acc: 0.789
[Epoch: 5]: Phase test  | Loss: 0.499 | Acc: 0.684
[Epoch: 6]: Phase train | Loss: 0.522 | Acc: 0.713
[Epoch: 6]: Phase valid | Loss: 0.291 | Acc: 0.895
[Epoch: 6]: Phase test  | Loss: 0.547 | Acc: 0.684
[Epoch: 7]: Phase train | Loss: 0.463 | Acc: 0.773
[Epoch: 7]: Phase valid | Loss: 0.252 | Acc: 0.947
[Epoch: 7]: Phase test  | Loss: 0.526 | Acc: 0.632
[Epoch: 8]: Phase train | Loss: 0.474 | Acc: 0.740
[Epoch: 8]: Phase valid | Loss: 0.244 | Acc: 0.842
[Epoch: 8]: Phase test  | Loss: 0.489 | Acc: 0.737
[Epoch: 9]: Phase train | Loss: 0.427 | Acc: 0.767
[Epoch: 9]: Phase valid | Loss: 0.235 | Acc: 0.947
[Epoch: 9]: Phase test  | Loss: 0.516 | Acc: 0.632
[Epoch: 10]: Phase train | Loss: 0.423 | Acc: 0.767
[Epoch: 10]: Phase valid | Loss: 0.273 | Acc: 0.947
[Epoch: 10]: Phase test  | Loss: 0.627 | Acc: 0.632
[Epoch: 11]: Phase train | Loss: 0.438 | Acc: 0.773
[Epoch: 11]: Phase valid | Loss: 0.207 | Acc: 0.947
[Epoch: 11]: Phase test  | Loss: 0.513 | Acc: 0.684
[Epoch: 12]: Phase train | Loss: 0.451 | Acc: 0.800
[Epoch: 12]: Phase valid | Loss: 0.229 | Acc: 0.895
[Epoch: 12]: Phase test  | Loss: 0.502 | Acc: 0.684
[Epoch: 13]: Phase train | Loss: 0.391 | Acc: 0.787
[Epoch: 13]: Phase valid | Loss: 0.238 | Acc: 0.947
[Epoch: 13]: Phase test  | Loss: 0.589 | Acc: 0.632
[Epoch: 14]: Phase train | Loss: 0.395 | Acc: 0.813
[Epoch: 14]: Phase valid | Loss: 0.212 | Acc: 0.947
[Epoch: 14]: Phase test  | Loss: 0.530 | Acc: 0.842
[Epoch: 15]: Phase train | Loss: 0.362 | Acc: 0.780
[Epoch: 15]: Phase valid | Loss: 0.207 | Acc: 0.895
